gt_class_id,gt_class_name,pred_0_road,pred_1_sidewalk,pred_2_building,pred_3_wall,pred_4_fence,pred_5_pole,pred_6_traffic_light,pred_7_traffic_sign,pred_8_vegetation,pred_9_terrain,pred_10_sky,pred_11_person,pred_12_rider,pred_13_car,pred_14_truck,pred_15_bus,pred_16_train,pred_17_motorcycle,pred_18_bicycle
0,road,35072669,448387,5851,8095,14952,6500,0,814,6954,12871,121,2074,62,44184,4771,4258,13381,1651,151
1,sidewalk,694929,10689135,58481,100559,70566,16231,0,882,63371,171197,0,6292,82,17343,5356,92,272,935,9607
2,building,1833,46908,29584213,133641,104071,77245,9522,21859,1168627,4643,333162,9399,221,32464,4242,10357,30243,1294,6050
3,wall,23639,131602,150668,2127626,166193,13830,0,1858,132515,22705,4,2292,19,10521,223,8,1495,466,379
4,fence,18883,47501,322786,360341,2029887,36401,1510,15067,348425,57170,5109,1798,34,37766,729,160,243,1499,1710
5,pole,7401,35899,127401,12302,28542,1496453,11388,11599,138794,15323,43520,2452,27,10038,1011,199,1900,195,1845
6,traffic_light,0,0,19371,23,35,10995,301358,1999,18291,0,4482,9,0,258,217,20,174,0,4
7,traffic_sign,2425,1126,71699,1719,15692,19605,1521,418006,26539,1519,3462,4270,0,2450,430,39,1344,68,679
8,vegetation,6320,105313,894191,105221,221772,149026,6921,15992,42128335,215060,1156717,8819,226,24843,2013,1208,2286,970,2734
9,terrain,28231,299743,30517,44692,50193,7145,2,31,381943,1574879,5887,700,2,3232,44,79,24,446,524
10,sky,4,362,228631,22,6074,39424,4936,8457,751333,0,56316347,1,0,770,299,1235,1804,0,0
11,person,4482,10134,18323,1732,4736,3759,32,1240,19082,553,46,241054,786,6368,571,293,1524,2096,1320
12,rider,170,159,713,22,269,362,0,46,464,6,0,6447,4599,1226,478,0,0,1099,1115
13,car,53673,10043,33105,2516,7094,7718,207,2223,28489,1091,125,2929,125,3341761,15587,3822,2419,2304,397
14,truck,4483,1292,23508,634,4187,3145,1082,1763,5809,179,881,398,404,30986,631640,926,3574,10,28
15,bus,5879,408,5460,620,433,3165,421,112,41366,7,4161,167,69,9172,2851,855010,4355,0,0
16,train,5122,495,21457,66,4520,1719,61,1134,3545,0,3091,1794,26,24480,448,566,1215696,0,0
17,motorcycle,348,2863,2839,1894,1247,133,0,0,1909,19,0,1569,206,7106,0,0,0,37450,7460
18,bicycle,420,9527,10556,1036,5193,1054,0,25,11205,43,0,1177,190,412,154,0,55,582,115949
