category,rank,dataset_index,condition,image_path,visualization_path,image_miou,pixel_error_rate,boundary_error_rate,dynamic_to_background_error_rate
worst_miou,1,155,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000825_rgb_anon.png,outputs/analysis/proposed_baseline/examples/worst_miou/01_idx00155_miou0.2581_err0.4059_GOPR0351_frame_000825_rgb_anon.png,0.2580921907698745,0.40589909974608224,0.6063022827165745,0.1339118597924111
worst_miou,2,205,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0356/GOPR0356_frame_000488_rgb_anon.png,outputs/analysis/proposed_baseline/examples/worst_miou/02_idx00205_miou0.2635_err0.2404_GOPR0356_frame_000488_rgb_anon.png,0.2634570715512514,0.24044822732471188,0.5127028798334554,1.0
worst_miou,3,161,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0356/GOPR0356_frame_000336_rgb_anon.png,outputs/analysis/proposed_baseline/examples/worst_miou/03_idx00161_miou0.2805_err0.2288_GOPR0356_frame_000336_rgb_anon.png,0.2804717120306457,0.22880361912263825,0.49438242322645076,0.7607170693686672
worst_miou,4,140,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000712_rgb_anon.png,outputs/analysis/proposed_baseline/examples/worst_miou/04_idx00140_miou0.3042_err0.1614_GOPR0351_frame_000712_rgb_anon.png,0.3042300724405328,0.16136478473610794,0.49041752224503765,0.3961708394698085
worst_miou,5,103,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000047_rgb_anon.png,outputs/analysis/proposed_baseline/examples/worst_miou/05_idx00103_miou0.3172_err0.1991_GOPR0351_frame_000047_rgb_anon.png,0.31718323932835646,0.19914650632553824,0.5322954620735343,1.0
best_miou,1,399,snow,/home/user/DATA/awseg/data/raw/rgb_anon/snow/val/GP030176/GP030176_frame_000589_rgb_anon.png,outputs/analysis/proposed_baseline/examples/best_miou/01_idx00399_miou0.9490_err0.0165_GP030176_frame_000589_rgb_anon.png,0.9489819217588309,0.016494102993266126,0.18200559148287254,0.022681404299258426
best_miou,2,326,snow,/home/user/DATA/awseg/data/raw/rgb_anon/snow/val/GOPR0122/GOPR0122_frame_000332_rgb_anon.png,outputs/analysis/proposed_baseline/examples/best_miou/02_idx00326_miou0.8730_err0.0322_GOPR0122_frame_000332_rgb_anon.png,0.8729849305882862,0.03222803663077387,0.2074011239529212,0.05897435897435897
best_miou,3,281,rain,/home/user/DATA/awseg/data/raw/rgb_anon/rain/val/GP020402/GP020402_frame_000898_rgb_anon.png,outputs/analysis/proposed_baseline/examples/best_miou/03_idx00281_miou0.8583_err0.0408_GP020402_frame_000898_rgb_anon.png,0.8583324068537612,0.04077302840757998,0.25212454409888785,0.01441001614236781
best_miou,4,236,rain,/home/user/DATA/awseg/data/raw/rgb_anon/rain/val/GOPR0402/GOPR0402_frame_000441_rgb_anon.png,outputs/analysis/proposed_baseline/examples/best_miou/04_idx00236_miou0.8475_err0.0404_GOPR0402_frame_000441_rgb_anon.png,0.8474507943229307,0.040407044300631405,0.23125331715823794,0.10676156583629894
best_miou,5,61,fog,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GP010476/GP010476_frame_000095_rgb_anon.png,outputs/analysis/proposed_baseline/examples/best_miou/05_idx00061_miou0.8435_err0.0299_GP010476_frame_000095_rgb_anon.png,0.8434602086432234,0.029882688649334178,0.20424928540883616,0.021536914438950807
highest_pixel_error,1,155,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000825_rgb_anon.png,outputs/analysis/proposed_baseline/examples/highest_pixel_error/01_idx00155_miou0.2581_err0.4059_GOPR0351_frame_000825_rgb_anon.png,0.2580921907698745,0.40589909974608224,0.6063022827165745,0.1339118597924111
highest_pixel_error,2,154,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000822_rgb_anon.png,outputs/analysis/proposed_baseline/examples/highest_pixel_error/02_idx00154_miou0.3739_err0.2890_GOPR0351_frame_000822_rgb_anon.png,0.37393681308730414,0.2889715485558086,0.5056667256950593,0.4820083682008368
highest_pixel_error,3,203,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0356/GOPR0356_frame_000482_rgb_anon.png,outputs/analysis/proposed_baseline/examples/highest_pixel_error/03_idx00203_miou0.3889_err0.2573_GOPR0356_frame_000482_rgb_anon.png,0.3889113927785593,0.2573290708373735,0.4404544743836973,nan
highest_pixel_error,4,100,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000033_rgb_anon.png,outputs/analysis/proposed_baseline/examples/highest_pixel_error/04_idx00100_miou0.3734_err0.2484_GOPR0351_frame_000033_rgb_anon.png,0.3733744639128865,0.24838505223658197,0.5102640954589154,0.07670454545454546
