dataset_index,image_path,label_path,condition,image_miou,pixel_error_rate,boundary_error_rate,interior_error_rate,dynamic_to_background_error_rate,valid_pixels,boundary_pixels,interior_pixels,gt_dynamic_pixels,error_pixels,boundary_error_pixels,interior_error_pixels,dynamic_to_background_error_pixels
0,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000761_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000761_gt_labelTrainIds.png,fog,0.48713075413972867,0.02602464352300305,0.26443388072601554,0.013950383558945513,0.021588594704684317,480045,23140,456905,7365,12493,6119,6374,159
1,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000769_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000769_gt_labelTrainIds.png,fog,0.7484875394245799,0.022832772310198316,0.22888652135103227,0.007402455985251151,0.044583570479984826,498494,34729,463765,10542,11382,7949,3433,470
2,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000775_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000775_gt_labelTrainIds.png,fog,0.8229752275188303,0.018283529812060925,0.20498448286781937,0.00568740225445036,0.0293141592920354,499630,31578,468052,1808,9135,6473,2662,53
3,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000781_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000781_gt_labelTrainIds.png,fog,0.6959795570357841,0.014821435587160649,0.1855685046674784,0.002410623601353658,0.03644925008719916,509060,34494,474566,11468,7545,6401,1144,418
4,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000788_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000788_gt_labelTrainIds.png,fog,0.7168584656048694,0.024595819194906537,0.19004414526474964,0.009676858891603786,0.027726432532347505,495694,41001,454693,5951,12192,7792,4400,165
5,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000798_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000798_gt_labelTrainIds.png,fog,0.7274779528529559,0.013653479406797325,0.1961592836946277,0.004128021972391035,0.03467840089879225,513349,25464,487885,53405,7009,4995,2014,1852
6,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000826_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000826_gt_labelTrainIds.png,fog,0.5735155494624095,0.021877383867988917,0.22373492305559406,0.006122382730076287,0.06369090789213423,498140,36065,462075,15167,10898,8069,2829,966
7,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000834_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000834_gt_labelTrainIds.png,fog,0.6897567097452685,0.039949088776446075,0.23705734215863253,0.019662083740475175,0.026952231981710987,480837,44871,435966,8311,19209,10637,8572,224
8,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000840_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000840_gt_labelTrainIds.png,fog,0.44831837831772087,0.1024540068924589,0.2924768737020955,0.0840635912474107,0.22291076487252123,480235,42376,437859,11296,49202,12394,36808,2518
9,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000845_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000845_gt_labelTrainIds.png,fog,0.6377187983382212,0.0341680938508273,0.2218824069118434,0.012136820781108736,0.02975206611570248,498067,52316,445751,3630,17018,11608,5410,108
