gt_class_id,gt_class_name,pred_class_id,pred_class_name,pixels,rate_within_gt_class
2,building,8,vegetation,1168627,0.03700529518783316
8,vegetation,10,sky,1156717,0.025677451770465026
8,vegetation,2,building,894191,0.019849752598158313
10,sky,8,vegetation,751333,0.013098621734399268
1,sidewalk,0,road,694929,0.058371250523925
0,road,1,sidewalk,448387,0.012578270727130966
9,terrain,8,vegetation,381943,0.15728731951469208
4,fence,3,wall,360341,0.10962546915609554
4,fence,8,vegetation,348425,0.1060002999678432
2,building,10,sky,333162,0.010549780345113429
4,fence,2,building,322786,0.0982002233634792
9,terrain,1,sidewalk,299743,0.12343667252258152
10,sky,2,building,228631,0.00398591701117539
8,vegetation,4,fence,221772,0.0049230190565536505
8,vegetation,9,terrain,215060,0.004774022321584457
1,sidewalk,9,terrain,171197,0.014379861792995238
3,wall,4,fence,166193,0.059651986706594266
3,wall,2,building,150668,0.054079567329003896
8,vegetation,5,pole,149026,0.003308162608092836
5,pole,8,vegetation,138794,0.0713121227114781
2,building,3,wall,133641,0.004231824743221927
3,wall,8,vegetation,132515,0.04756387464227939
3,wall,1,sidewalk,131602,0.047236169721716424
5,pole,2,building,127401,0.0654584185596281
8,vegetation,1,sidewalk,105313,0.0023377969531899185
8,vegetation,3,wall,105221,0.002335754685666503
2,building,4,fence,104071,0.0032954724437249737
1,sidewalk,3,wall,100559,0.008446552930494157
2,building,5,pole,77245,0.0024460105977220895
7,traffic_sign,2,building,71699,0.12521808684353458
