number,value,datetime_start,datetime_complete,duration,params_drop_path_rate,params_dropout,params_encoder_lr_mult,params_freeze_mode,params_head_lr_mult,params_lr,user_attrs_checkpoint_path,user_attrs_config_path,user_attrs_metric_file,user_attrs_metric_key,user_attrs_result_dir,state
0,,2026-06-09 02:01:18.318797,2026-06-09 02:09:05.796844,0 days 00:07:47.478047,0.1,0.05,1.0,full,3.0,0.00012,,,,,,FAIL
1,0.7201364636421204,2026-06-09 02:09:13.924000,2026-06-09 02:54:17.246070,0 days 00:45:03.322070,0.15,0.1,1.0,full,3.0,0.00012,outputs/tuning/segformer/trials/trial_0001/checkpoints/best_miou.pth,outputs/tuning/segformer/configs/trial_0001.yaml,outputs/tuning/segformer/results/trial_0001/train.json,best_miou,outputs/tuning/segformer/results/trial_0001,COMPLETE
2,0.7147551774978638,2026-06-09 02:54:17.276502,2026-06-09 03:39:12.628456,0 days 00:44:55.351954,0.1,0.1,1.0,full,3.0,0.0001,outputs/tuning/segformer/trials/trial_0002/checkpoints/best_miou.pth,outputs/tuning/segformer/configs/trial_0002.yaml,outputs/tuning/segformer/results/trial_0002/train.json,best_miou,outputs/tuning/segformer/results/trial_0002,COMPLETE
3,0.7181452512741089,2026-06-09 03:39:12.662137,2026-06-09 04:24:21.429080,0 days 00:45:08.766943,0.05,0.1,1.0,full,5.0,0.0001,outputs/tuning/segformer/trials/trial_0003/checkpoints/best_miou.pth,outputs/tuning/segformer/configs/trial_0003.yaml,outputs/tuning/segformer/results/trial_0003/train.json,best_miou,outputs/tuning/segformer/results/trial_0003,COMPLETE
4,0.715411365032196,2026-06-09 04:24:21.465095,2026-06-09 05:09:13.260929,0 days 00:44:51.795834,0.05,0.05,1.0,full,4.0,0.00012,outputs/tuning/segformer/trials/trial_0004/checkpoints/best_miou.pth,outputs/tuning/segformer/configs/trial_0004.yaml,outputs/tuning/segformer/results/trial_0004/train.json,best_miou,outputs/tuning/segformer/results/trial_0004,COMPLETE
5,0.7203961610794067,2026-06-09 05:09:13.286113,2026-06-09 05:54:03.444171,0 days 00:44:50.158058,0.1,0.05,1.0,full,5.0,0.0001,outputs/tuning/segformer/trials/trial_0005/checkpoints/best_miou.pth,outputs/tuning/segformer/configs/trial_0005.yaml,outputs/tuning/segformer/results/trial_0005/train.json,best_miou,outputs/tuning/segformer/results/trial_0005,COMPLETE
6,0.7161369323730469,2026-06-09 05:54:03.488403,2026-06-09 06:39:07.695665,0 days 00:45:04.207262,0.15,0.1,1.0,full,5.0,8e-05,outputs/tuning/segformer/trials/trial_0006/checkpoints/best_miou.pth,outputs/tuning/segformer/configs/trial_0006.yaml,outputs/tuning/segformer/results/trial_0006/train.json,best_miou,outputs/tuning/segformer/results/trial_0006,COMPLETE
7,0.7165495157241821,2026-06-09 06:39:07.729885,2026-06-09 07:24:22.787957,0 days 00:45:15.058072,0.05,0.05,1.0,full,3.0,0.0001,outputs/tuning/segformer/trials/trial_0007/checkpoints/best_miou.pth,outputs/tuning/segformer/configs/trial_0007.yaml,outputs/tuning/segformer/results/trial_0007/train.json,best_miou,outputs/tuning/segformer/results/trial_0007,COMPLETE
8,0.7144361734390259,2026-06-09 07:24:22.817001,2026-06-09 08:09:52.027001,0 days 00:45:29.210000,0.1,0.1,1.0,full,3.0,8e-05,outputs/tuning/segformer/trials/trial_0008/checkpoints/best_miou.pth,outputs/tuning/segformer/configs/trial_0008.yaml,outputs/tuning/segformer/results/trial_0008/train.json,best_miou,outputs/tuning/segformer/results/trial_0008,COMPLETE
9,0.7173312306404114,2026-06-09 08:09:52.050330,2026-06-09 08:55:09.219021,0 days 00:45:17.168691,0.15,0.1,1.0,full,3.0,0.00012,outputs/tuning/segformer/trials/trial_0009/checkpoints/best_miou.pth,outputs/tuning/segformer/configs/trial_0009.yaml,outputs/tuning/segformer/results/trial_0009/train.json,best_miou,outputs/tuning/segformer/results/trial_0009,COMPLETE
